UNIXTIME,DATE,TIME,RADIATION,TEMPERATURE,PRESSURE,HUMIDITY,WINDDIRECTION,SPEED,TIMESUNRISE,TIMESUNSET
1475192721,09-29-2016,13:45:21,942.73,62.0,30.484,53.0,359.93,5.62,06:13:00,18:13:00
1475192421,09-29-2016,13:40:21,955.74,62.0,30.493,50.0,9.92,45.0,06:13:00,18:13:00
1475192121,09-29-2016,13:35:21,959.47,62.0,30.501,68.8,19.98,9.0,06:13:00,18:13:00
1475191820,09-29-2016,13:30:20,97.02,62.0,30.42,57.0,9.0,6.75,06:13:00,18:13:00
1475191518,09-29-2016,13:25:18,974.87,62.0,30.44,68.8,19.13,11.25,06:13:00,18:13:00
1475191220,09-29-2016,13:20:20,985.22,62.0,30.389,53.0,61.93,7.87,06:13:00,18:13:00
1475190925,09-29-2016,13:15:25,992.19,62.0,30.488,50.0,63.35,10.12,06:13:00,18:13:00
1475190622,09-29-2016,13:10:22,997.26,54.4,30.484,56.0,171.18,7.87,06:13:00,18:13:00
1475190322,09-29-2016,13:05:22,10.05,62.0,30.42,68.8,45.65,7.87,06:13:00,18:13:00
1475190019,09-29-2016,13:00:19,10.08,63.0,30.418,54.0,15.92,11.25,06:13:00,18:13:00
1475189722,09-29-2016,12:55:22,10.14,63.0,30.419,54.0,130.14,9.0,06:13:00,18:13:00
1475189420,09-29-2016,12:50:20,10.21,62.0,30.526,51.0,21.54,10.12,06:13:00,18:13:00
1475189119,09-29-2016,12:45:19,10.26,62.0,30.357,45.0,70.89,15.75,06:13:00,18:13:00
1475188820,09-29-2016,12:40:20,10.29,63.0,30.42280884353741,46.0,59.62,12.37,06:13:00,18:13:00
1475188520,09-29-2016,12:35:20,10.34,63.0,30.449,43.0,79.08,7.87,06:13:00,18:13:00
1475188219,09-29-2016,12:30:19,10.34,63.0,30.477,43.0,359.46,5.62,06:13:00,18:13:00
1475187921,09-29-2016,12:25:21,10.39,63.0,30.485,40.0,59.89,45.0,06:13:00,18:13:00
1475187620,09-29-2016,12:20:20,10.4,63.0,30.523,39.0,40.66,18.73,06:13:00,18:13:00
1475187320,09-29-2016,12:15:20,289.58,64.0,30.399,41.0,20.44,14.62,06:13:00,18:13:00
1475187024,09-29-2016,12:10:24,10.4,64.0,30.42280884353741,41.0,40.4,13.5,06:13:00,18:13:00
1475186720,09-29-2016,12:05:20,289.58,63.0,30.522,41.0,117.62,45.0,06:13:00,18:13:00
1475186427,09-29-2016,12:00:27,10.39,63.0,30.429,42.0,354.78,11.2,06:13:00,18:13:00
1475186120,09-29-2016,11:55:20,10.36,63.0,30.498,41.0,35.68,45.0,06:13:00,18:13:00
1475185820,09-29-2016,11:50:20,10.33,63.0,30.434,39.0,350.0,5.62,06:13:00,18:13:00
1475185518,09-29-2016,11:45:18,10.29,63.0,30.552,68.8,14.63,9.0,06:13:00,18:13:00
1475185220,09-29-2016,11:40:20,10.26,63.0,30.424,41.0,349.53,18.73,06:13:00,18:13:00
1475184919,09-29-2016,11:35:19,10.24,63.0,30.45,41.0,31.9,9.0,06:13:00,18:13:00
1475184622,09-29-2016,11:30:22,10.18,63.0,30.498,37.0,339.83,33.7,06:13:00,18:13:00
1475184320,09-29-2016,11:25:20,10.14,63.0,30.473,34.0,67.14,11.25,06:13:00,18:13:00
1475184021,09-29-2016,11:20:21,10.09,63.0,30.469,34.0,61.67,9.0,06:13:00,18:13:00
1475183722,09-29-2016,11:15:22,10.03,63.0,30.5,33.0,32.74,6.75,06:13:00,18:13:00
1475183516,09-29-2016,11:11:56,999.19,54.4,30.448,68.8,45.099999999999994,6.75,06:13:00,18:13:00
1475183122,09-29-2016,11:05:22,289.58,62.0,30.453,36.0,38.9,10.12,06:13:00,18:13:00
1475182823,09-29-2016,11:00:23,981.66,54.4,30.463,40.0,28.85,7.87,06:13:00,18:13:00
1475182521,09-29-2016,10:55:21,289.58,63.0,30.406,35.0,114.97,18.73,06:13:00,18:13:00
1475182222,09-29-2016,10:50:22,964.46,63.0,30.481,37.0,60.94,6.75,06:13:00,18:13:00
1475181920,09-29-2016,10:45:20,957.02,62.0,30.451,40.0,37.85,7.87,06:13:00,18:13:00
1475181622,09-29-2016,10:40:22,289.58,62.0,30.434,44.0,38.03,11.25,06:13:00,18:13:00
1475181322,09-29-2016,10:35:22,933.08,54.4,30.501,68.8,37.37,11.25,06:13:00,18:13:00
1475181021,09-29-2016,10:30:21,926.79,62.0,30.474,43.0,10.44,5.62,06:13:00,18:13:00
1475180719,09-29-2016,10:25:19,915.84,62.0,30.455,42.0,5.51,11.25,06:13:00,18:13:00
1475180419,09-29-2016,10:20:19,901.65,62.0,30.433,42.0,24.74,9.0,06:13:00,18:13:00
1475180123,09-29-2016,10:15:23,289.58,54.4,30.403,46.0,37.67,7.87,06:13:00,18:13:00
1475179820,09-29-2016,10:10:20,878.76,62.0,30.486,49.0,61.93,7.87,06:13:00,18:13:00
1475179523,09-29-2016,10:05:23,867.98,61.0,30.381,44.0,359.93,6.75,06:13:00,18:13:00
1475179225,09-29-2016,10:00:25,855.89,62.0,30.456,68.8,26.99,7.87,06:13:00,18:13:00
1475178921,09-29-2016,09:55:21,841.52,61.0,30.473,42.0,21.37,9.0,06:13:00,18:13:00
1475178622,09-29-2016,09:50:22,830.19,62.0,30.368,68.8,52.73,10.12,06:13:00,18:13:00
1475178319,09-29-2016,09:45:19,289.58,62.0,30.426,39.0,61.67,6.75,06:13:00,18:13:00
1475178020,09-29-2016,09:40:20,799.29,62.0,30.458,41.0,42.59,5.62,06:13:00,18:13:00
1475177725,09-29-2016,09:35:25,785.6,61.0,30.441,41.0,37.83,7.87,06:13:00,18:13:00
1475177421,09-29-2016,09:30:21,768.39,61.0,30.59,45.0,7.14,7.87,06:13:00,18:13:00
1475177119,09-29-2016,09:25:19,754.06,61.0,30.449,44.0,186.9,45.0,06:13:00,18:13:00
1475176822,09-29-2016,09:20:22,738.75,61.0,30.423,43.0,7.25,7.87,06:13:00,18:13:00
1475176523,09-29-2016,09:15:23,722.23,61.0,30.532,44.0,33.19,11.25,06:13:00,18:13:00
1475176223,09-29-2016,09:10:23,706.41,61.0,30.411,44.0,56.91,6.75,06:13:00,18:13:00
1475175921,09-29-2016,09:05:21,686.3,61.0,30.484,68.8,70.29,18.73,06:13:00,18:13:00
1475175626,09-29-2016,09:00:26,669.11,60.0,30.456,49.0,16.18,9.0,06:13:00,18:13:00
1475175321,09-29-2016,08:55:21,652.51,61.0,30.549,47.0,52.76,22.5,06:13:00,18:13:00
1475175023,09-29-2016,08:50:23,289.58,54.4,30.494,41.0,14.96,6.75,06:13:00,18:13:00
1475174727,09-29-2016,08:45:27,617.87,61.0,30.379,31.0,19.08,7.87,06:13:00,18:13:00
1475174421,09-29-2016,08:40:21,289.58,61.0,30.423,68.8,1.0,22.5,06:13:00,18:13:00
1475174122,09-29-2016,08:35:22,578.24,61.0,30.506,31.0,24.56,45.0,06:13:00,18:13:00
1475173821,09-29-2016,08:30:21,559.23,60.0,30.466,35.0,41.61,11.2,06:13:00,18:13:00
1475173521,09-29-2016,08:25:21,538.41,60.0,30.435,37.0,31.05,33.7,06:13:00,18:13:00
1475173223,09-29-2016,08:20:23,519.16,60.0,30.458,41.0,25.35,45.0,06:13:00,18:13:00
1475172921,09-29-2016,08:15:21,289.58,60.0,30.388,68.8,37.7,33.7,06:13:00,18:13:00
1475172619,09-29-2016,08:10:19,47.85,60.0,30.47,40.0,17.86,33.7,06:13:00,18:13:00
1475172318,09-29-2016,08:05:18,458.27,59.0,30.532,68.8,74.63,11.2,06:13:00,18:13:00
1475172024,09-29-2016,08:00:24,438.05,59.0,30.406,45.0,64.84,22.5,06:13:00,18:13:00
1475171719,09-29-2016,07:55:19,416.28,60.0,30.471,30.0,53.32,5.62,06:13:00,18:13:00
1475171419,09-29-2016,07:50:19,395.14,59.0,30.376,31.0,75.7,33.7,06:13:00,18:13:00
1475171120,09-29-2016,07:45:20,373.7,54.4,30.376,34.0,58.43,22.5,06:13:00,18:13:00
1475170819,09-29-2016,07:40:19,352.56,57.0,30.448,34.0,113.5,11.2,06:13:00,18:13:00
1475170221,09-29-2016,07:30:21,305.78,54.0,30.421,38.0,146.52,11.2,06:13:00,18:13:00
1475169921,09-29-2016,07:25:21,278.29,52.0,30.428,42.0,142.16,22.5,06:13:00,18:13:00
1475169628,09-29-2016,07:20:28,289.58,51.0,30.443,44.0,151.94,22.5,06:13:00,18:13:00
1475169324,09-29-2016,07:15:24,222.48,50.0,30.48,68.8,143.23,45.0,06:13:00,18:13:00
1475169022,09-29-2016,07:10:22,164.44,49.0,30.468,47.0,172.83,33.7,06:13:00,18:13:00
1475168723,09-29-2016,07:05:23,213.6,48.0,30.386,48.0,176.93,45.0,06:13:00,18:13:00
1475168425,09-29-2016,07:00:25,200.0,48.0,30.405,50.0,182.88,5.62,06:13:00,18:13:00
1475168123,09-29-2016,06:55:23,192.4,48.0,30.436,51.0,173.07,7.87,06:13:00,18:13:00
1475167819,09-29-2016,06:50:19,183.3,47.0,30.412,53.0,191.44,7.87,06:13:00,18:13:00
1475167520,09-29-2016,06:45:20,173.1,47.0,30.467,54.0,193.99,9.0,06:13:00,18:13:00
1475167222,09-29-2016,06:40:22,289.58,47.0,30.327,55.0,190.38,10.12,06:13:00,18:13:00
1475166919,09-29-2016,06:35:19,147.3,47.0,30.443,56.0,179.45,10.12,06:13:00,18:13:00
1475166620,09-29-2016,06:30:20,125.3,47.0,30.421,57.0,188.58,18.73,06:13:00,18:13:00
1475166321,09-29-2016,06:25:21,986.0,47.0,30.383,57.0,188.37,7.87,06:13:00,18:13:00
1475166020,09-29-2016,06:20:20,770.0,47.0,30.355,68.8,192.09,7.87,06:13:00,18:13:00
1475165722,09-29-2016,06:15:22,617.0,47.0,30.324,68.8,157.11,7.87,06:13:00,18:13:00
1475165423,09-29-2016,06:10:23,289.58,47.0,30.36,62.0,177.65,6.75,06:13:00,18:13:00
1475165120,09-29-2016,06:05:20,234.0,47.0,30.448,62.0,187.76,7.87,06:13:00,18:13:00
1475164824,09-29-2016,06:00:24,147.0,47.0,30.42280884353741,61.0,185.73,7.87,06:13:00,18:13:00
1475164525,09-29-2016,05:55:25,121.0,47.0,30.49,60.0,184.95,9.0,06:13:00,18:13:00
1475164221,09-29-2016,05:50:21,123.0,47.0,30.424,59.0,182.07,9.0,06:13:00,18:13:00
1475163921,09-29-2016,05:45:21,124.0,46.0,30.386,58.0,184.89,10.12,06:13:00,18:13:00
1475163621,09-29-2016,05:40:21,123.0,46.0,30.405,59.0,190.62,7.87,06:13:00,18:13:00
1475163326,09-29-2016,05:35:26,121.0,54.4,30.464,58.0,188.4,7.87,06:13:00,18:13:00
1475163027,09-29-2016,05:30:27,289.58,46.0,30.417,58.0,193.81,5.62,06:13:00,18:13:00
1475162722,09-29-2016,05:25:22,122.0,45.0,30.32,56.0,191.32,6.75,06:13:00,18:13:00
1475162424,09-29-2016,05:20:24,122.0,45.0,30.442,56.0,184.3,5.62,06:13:00,18:13:00
1475162121,09-29-2016,05:15:21,120.0,45.0,30.503,68.8,174.74,45.0,06:13:00,18:13:00
1475161822,09-29-2016,05:10:22,120.0,45.0,30.332,55.0,184.56,6.75,06:13:00,18:13:00
1475161520,09-29-2016,05:05:20,116.0,46.0,30.449,55.0,165.66,6.75,06:13:00,18:13:00
1475161222,09-29-2016,05:00:22,115.0,46.0,30.371,53.0,177.23,45.0,06:13:00,18:13:00
1475160925,09-29-2016,04:55:25,118.0,46.0,30.439,51.0,173.92,45.0,06:13:00,18:13:00
1475160625,09-29-2016,04:50:25,118.0,46.0,30.416,50.0,174.53,5.62,06:13:00,18:13:00
1475160320,09-29-2016,04:45:20,289.58,46.0,30.416,50.0,163.85,33.7,06:13:00,18:13:00
1475160021,09-29-2016,04:40:21,289.58,54.4,30.483,49.0,166.26,45.0,06:13:00,18:13:00
1475159719,09-29-2016,04:35:19,289.58,46.0,30.386,49.0,176.34,33.7,06:13:00,18:13:00
1475159425,09-29-2016,04:30:25,120.0,46.0,30.404,48.0,170.62,5.62,06:13:00,18:13:00
1475159125,09-29-2016,04:25:25,117.0,46.0,30.35,47.0,176.8,33.7,06:13:00,18:13:00
1475158821,09-29-2016,04:20:21,117.0,54.4,30.486,47.0,170.45,45.0,06:13:00,18:13:00
1475158529,09-29-2016,04:15:29,118.0,46.0,30.319,45.0,180.3,33.7,06:13:00,18:13:00
1475158222,09-29-2016,04:10:22,121.0,46.0,30.354,68.8,187.66,6.75,06:13:00,18:13:00
1475157918,09-29-2016,04:05:18,117.0,46.0,30.412,45.0,173.01,5.62,06:13:00,18:13:00
1475157620,09-29-2016,04:00:20,118.0,46.0,30.301,45.0,178.75,18.73,06:13:00,18:13:00
1475157320,09-29-2016,03:55:20,119.0,46.0,30.384,68.8,171.85,6.75,06:13:00,18:13:00
1475157026,09-29-2016,03:50:26,118.0,46.0,30.396,47.0,189.46,6.75,06:13:00,18:13:00
1475156722,09-29-2016,03:45:22,120.0,54.4,30.352,48.0,169.78,5.62,06:13:00,18:13:00
1475156426,09-29-2016,03:40:26,122.0,46.0,30.403,50.0,183.99,6.75,06:13:00,18:13:00
1475156122,09-29-2016,03:35:22,121.0,46.0,30.34,52.0,173.17,5.62,06:13:00,18:13:00
1475155819,09-29-2016,03:30:19,122.0,46.0,30.402,55.0,186.34,7.87,06:13:00,18:13:00
1475155523,09-29-2016,03:25:23,121.0,46.0,30.275,56.0,159.97,6.75,06:13:00,18:13:00
1475155223,09-29-2016,03:20:23,118.0,47.0,30.329,57.0,170.61,45.0,06:13:00,18:13:00
1475154922,09-29-2016,03:15:22,124.0,47.0,30.366,68.8,171.98,33.7,06:13:00,18:13:00
1475154624,09-29-2016,03:10:24,122.0,47.0,30.275,58.0,177.67,6.75,06:13:00,18:13:00
1475154319,09-29-2016,03:05:19,289.58,47.0,30.41,58.0,165.64,5.62,06:13:00,18:13:00
1475154019,09-29-2016,03:00:19,289.58,47.0,30.327,58.0,181.39,45.0,06:13:00,18:13:00
1475153725,09-29-2016,02:55:25,118.0,54.4,30.323,58.0,156.71,33.7,06:13:00,18:13:00
1475153425,09-29-2016,02:50:25,124.0,47.0,30.438,68.8,156.31,7.87,06:13:00,18:13:00
1475153123,09-29-2016,02:45:23,119.0,47.0,30.347,59.0,168.46,45.0,06:13:00,18:13:00
1475152823,09-29-2016,02:40:23,120.0,47.0,30.317,59.0,172.8,5.62,06:13:00,18:13:00
1475152522,09-29-2016,02:35:22,124.0,47.0,30.253,60.0,158.68,5.62,06:13:00,18:13:00
