UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1475202622,2016-09-29,16:30:22,362.84,580.0,30.385322986923896,46.0,85.96,5.62,06:13:00,18:13:00
1475202321,09-29-2016,16:25:21,,59.0,30.407996184337854,48.0,19.78,4.5,06:13:00,18:13:00
1475202025,2016-09-29,16:20:25,457.69,58.0,30.45121802336229,59.0,18.26,4.5,06:13:00,18:13:00
1475201723,2016-09-29,16:15:23,511.38,58.0,30.383076320442516,52.0,69.08,3.37,06:13:00,18:13:00
1475201422,29/09/2016,16:10:22,566.83,58.0,30.401986423975483,52.0,40.87,4.5,06:13:00,18:13:00
1475201120,2016-09-29,16:05:20,187.96,58.0,30.500507839009522,49.0,0.13,4.5,06:13:00,18:13:00
1475200820,2016-09-29,16:00:20,310.59,59.0,30.476860854414777,58.0,27.34,9.0,06:13:00,18:13:00
1475200522,09-29-2016,15:55:22,230.26,59.0,30.388375603982205,46.0,359.93,3.37,06:13:00,18:13:00
1475200221,2016-09-29,15:50:21,623.31,60.0,30.364454734847023,46.0,22.18,7.87,06:13:00,18:13:00
1475199922,09-29-2016,15:45:22,312.1,60.0,30.422203364025293,48.0,4.38,10.12,06:13:00,18:13:00
1475199624,29/09/2016,15:40:24,803.72,60.0,30.47266824129489,440.0,355.03,7.87,06:13:00,18:13:00
1475199319,29/09/2016,15:35:19,671.97,600.0,30.410822266134435,47.0,0.4,7.87,06:13:00,18:13:00
1475199020,29/09/2016,15:30:20,670.32,60.0,30.439899976130924,51.0,53.16,4.5,06:13:00,18:13:00
1475198721,29/09/2016,15:25:21,679.73,60.0,30.46873760042679,48.0,353.87,9.0,06:13:00,18:13:00
1475198424,29/09/2016,15:20:24,687.62,60.0,30.374646274449738,54.0,2.04,4.5,06:13:00,18:13:00
1475198118,2016-09-29,15:15:18,,61.0,30.398878649285532,530.0,34.85,11.25,06:13:00,18:13:00
1475197821,2016-09-29,15:10:21,716.27,,30.38198200369214,44.0,11.08,7.87,06:13:00,18:13:00
1475197523,2016-09-29,15:05:23,744.43,61.0,30.511458953875454,50.0,1.6,5.62,06:13:00,18:13:00
1475197330,09-29-2016,15:02:10,612.34,61.0,30.374765410266505,,345.21,7.87,06:13:00,18:13:00
1475196921,29/09/2016,14:55:21,,61.0,30.43646695204622,50.0,165.42,4.5,06:13:00,18:13:00
1475196621,2016-09-29,14:50:21,773.71,61.0,30.50747945471853,57.0,30.3,6.75,06:13:00,18:13:00
1475196318,09-29-2016,14:45:18,790.08,61.0,30.505694568337553,59.0,34.24,3.37,06:13:00,18:13:00
1475196023,29/09/2016,14:40:23,804.28,61.0,30.41710216086443,590.0,19.11,7.87,06:13:00,18:13:00
1475195724,09-29-2016,14:35:24,,61.0,30.48701641434646,53.0,84.61,6.75,06:13:00,18:13:00
1475195419,09-29-2016,14:30:19,855.63,62.0,30.513465829163504,51.0,31.88,5.62,06:13:00,18:13:00
1475195120,09-29-2016,14:25:20,,62.0,30.377780187870233,58.0,149.48,3.37,06:13:00,18:13:00
1475194821,09-29-2016,14:20:21,,62.0,30.381182142740595,54.0,62.54,3.37,06:13:00,18:13:00
1475194527,2016-09-29,14:15:27,872.67,62.0,30.494059005287745,58.0,39.59,5.62,06:13:00,18:13:00
1475194220,2016-09-29,14:10:20,,62.0,30.371925397972092,50.0,122.13,4.5,06:13:00,18:13:00
1475193619,09-29-2016,14:00:19,911.06,62.0,30.46560705841037,,65.07,7.87,06:13:00,18:13:00
1475193320,09-29-2016,13:55:20,925.16,62.0,30.384570418688764,,69.79,7.87,06:13:00,18:13:00
1475193020,29/09/2016,13:50:20,9331.5,62.0,30.488090964914118,47.0,346.87,5.62,06:13:00,18:13:00
1475192721,09-29-2016,13:45:21,942.73,62.0,30.483888273675316,53.0,359.93,5.62,06:13:00,18:13:00
1475192421,09-29-2016,13:40:21,955.74,62.0,30.49296127835916,50.0,9.92,4.5,06:13:00,18:13:00
1475192121,2016-09-29,13:35:21,959.47,62.0,30.500733519116046,,19.98,9.0,06:13:00,18:13:00
1475191820,29/09/2016,13:30:20,9702.2,62.0,30.420119563893245,57.0,0.9,6.75,06:13:00,18:13:00
1475191518,09-29-2016,13:25:18,974.87,62.0,30.44025789155377,,19.13,11.25,06:13:00,18:13:00
1475191220,2016-09-29,13:20:20,985.22,62.0,30.389080158096622,53.0,61.93,7.87,06:13:00,18:13:00
1475190925,2016-09-29,13:15:25,992.19,62.0,30.487562676531667,50.0,63.35,10.12,06:13:00,18:13:00
1475190622,29/09/2016,13:10:22,997.26,,30.484009835322443,56.0,171.18,7.87,06:13:00,18:13:00
1475190322,29/09/2016,13:05:22,1004.6,62.0,30.420305954004625,,45.65,7.87,06:13:00,18:13:00
1475190019,2016-09-29,13:00:19,1007.96,63.0,30.418445279787623,54.0,15.92,11.25,06:13:00,18:13:00
1475189722,09-29-2016,12:55:22,1013.59,63.0,30.418507550015555,54.0,130.14,9.0,06:13:00,18:13:00
1475189420,2016-09-29,12:50:20,1020.55,62.0,30.525567179034155,51.0,21.54,10.12,06:13:00,18:13:00
1475189119,2016-09-29,12:45:19,1025.63,62.0,30.356926071279755,45.0,70.89,15.75,06:13:00,18:13:00
1475188820,29/09/2016,12:40:20,1029.41,63.0,,46.0,59.62,12.37,06:13:00,18:13:00
1475188520,29/09/2016,12:35:20,1034.46,63.0,30.448842695575593,43.0,79.08,7.87,06:13:00,18:13:00
1475188219,2016-09-29,12:30:19,1033.54,63.0,30.476652964038873,43.0,359.46,5.62,06:13:00,18:13:00
1475187921,2016-09-29,12:25:21,1039.06,63.0,30.48469989786417,40.0,59.89,4.5,06:13:00,18:13:00
1475187620,29/09/2016,12:20:20,1039.67,63.0,30.523115698749272,39.0,40.66,,06:13:00,18:13:00
1475187320,2016-09-29,12:15:20,,64.0,30.3992361179348,41.0,20.44,14.62,06:13:00,18:13:00
1475187024,29/09/2016,12:10:24,1039.52,64.0,,41.0,40.4,13.5,06:13:00,18:13:00
1475186720,29/09/2016,12:05:20,,63.0,30.522365629590713,41.0,117.62,4.5,06:13:00,18:13:00
1475186427,09-29-2016,12:00:27,1039.22,63.0,30.428877122911103,42.0,354.78,1.12,06:13:00,18:13:00
1475186120,2016-09-29,11:55:20,1035.99,63.0,30.49760362177102,41.0,35.68,4.5,06:13:00,18:13:00
1475185820,29/09/2016,11:50:20,1033.49,63.0,30.434307793223365,39.0,350.0,5.62,06:13:00,18:13:00
1475185518,2016-09-29,11:45:18,1029.15,630.0,30.552004574163615,,14.63,9.0,06:13:00,18:13:00
1475185220,09-29-2016,11:40:20,1025.51,63.0,30.424448244506944,41.0,349.53,,06:13:00,18:13:00
1475184919,09-29-2016,11:35:19,1023.78,63.0,30.449814863245773,41.0,31.9,9.0,06:13:00,18:13:00
1475184622,09-29-2016,11:30:22,1017.57,63.0,30.497520913690224,37.0,339.83,3.37,06:13:00,18:13:00
1475184320,09-29-2016,11:25:20,1013.93,630.0,30.473287724736903,34.0,67.14,11.25,06:13:00,18:13:00
1475184021,29/09/2016,11:20:21,1009.36,630.0,30.468969416790713,340.0,61.67,9.0,06:13:00,18:13:00
1475183722,2016-09-29,11:15:22,1002.89,63.0,30.500083584415485,33.0,32.74,6.75,06:13:00,18:13:00
1475183516,29/09/2016,11:11:56,999.19,,30.448474455356486,,4.51,6.75,06:13:00,18:13:00
1475183122,09-29-2016,11:05:22,,62.0,30.4527162645668,36.0,38.9,10.12,06:13:00,18:13:00
1475182823,2016-09-29,11:00:23,981.66,,30.46270771171277,40.0,28.85,7.87,06:13:00,18:13:00
1475182521,09-29-2016,10:55:21,,63.0,30.405992504613973,35.0,114.97,,06:13:00,18:13:00
1475182222,09-29-2016,10:50:22,964.46,63.0,30.480861664217194,37.0,60.94,6.75,06:13:00,18:13:00
1475181920,09-29-2016,10:45:20,957.02,62.0,30.450801023141718,40.0,37.85,7.87,06:13:00,18:13:00
1475181622,29/09/2016,10:40:22,,62.0,30.43446836156828,44.0,38.03,11.25,06:13:00,18:13:00
1475181322,29/09/2016,10:35:22,933.08,,30.501233937136924,,37.37,11.25,06:13:00,18:13:00
1475181021,2016-09-29,10:30:21,926.79,62.0,30.473891495581363,43.0,10.44,5.62,06:13:00,18:13:00
1475180719,29/09/2016,10:25:19,915.84,62.0,30.454682616704872,42.0,5.51,11.25,06:13:00,18:13:00
1475180419,29/09/2016,10:20:19,901.65,62.0,30.43250680847936,42.0,24.74,9.0,06:13:00,18:13:00
1475180123,2016-09-29,10:15:23,,,30.40320034299768,46.0,37.67,7.87,06:13:00,18:13:00
1475179820,29/09/2016,10:10:20,878.76,62.0,30.485921034642967,49.0,61.93,7.87,06:13:00,18:13:00
1475179523,2016-09-29,10:05:23,867.98,61.0,30.381203929458422,44.0,359.93,6.75,06:13:00,18:13:00
1475179225,09-29-2016,10:00:25,855.89,62.0,30.455864586741757,,26.99,7.87,06:13:00,18:13:00
1475178921,2016-09-29,09:55:21,841.52,61.0,30.473185442521366,42.0,21.37,9.0,06:13:00,18:13:00
1475178622,2016-09-29,09:50:22,830.19,62.0,30.367686560505916,,52.73,10.12,06:13:00,18:13:00
1475178319,29/09/2016,09:45:19,,62.0,30.425591119616133,390.0,61.67,6.75,06:13:00,18:13:00
1475178020,29/09/2016,09:40:20,799.29,62.0,30.458459292663647,41.0,42.59,5.62,06:13:00,18:13:00
1475177725,09-29-2016,09:35:25,785.6,61.0,30.441204451380667,41.0,37.83,7.87,06:13:00,18:13:00
1475177421,29/09/2016,09:30:21,768.39,61.0,30.590418171256076,45.0,7.14,7.87,06:13:00,18:13:00
1475177119,09-29-2016,09:25:19,754.06,61.0,30.449396222431485,44.0,186.9,4.5,06:13:00,18:13:00
1475176822,29/09/2016,09:20:22,738.75,61.0,30.42306890218982,43.0,7.25,7.87,06:13:00,18:13:00
1475176523,09-29-2016,09:15:23,722.23,61.0,30.532447372319066,44.0,33.19,11.25,06:13:00,18:13:00
1475176223,09-29-2016,09:10:23,706.41,61.0,30.41135104300197,44.0,56.91,6.75,06:13:00,18:13:00
1475175921,29/09/2016,09:05:21,686.3,61.0,30.483789108943036,,70.29,,06:13:00,18:13:00
1475175626,2016-09-29,09:00:26,669.11,60.0,30.456465444111153,49.0,16.18,9.0,06:13:00,18:13:00
1475175321,09-29-2016,08:55:21,652.51,61.0,30.549249916474157,470.0,52.76,2.25,06:13:00,18:13:00
1475175023,29/09/2016,08:50:23,,,30.49437157471271,41.0,14.96,6.75,06:13:00,18:13:00
1475174727,2016-09-29,08:45:27,617.87,61.0,30.37856706869605,31.0,19.08,7.87,06:13:00,18:13:00
1475174421,2016-09-29,08:40:21,,61.0,30.42269550621824,,0.1,2.25,06:13:00,18:13:00
1475174122,29/09/2016,08:35:22,578.24,61.0,30.50562725624087,31.0,24.56,4.5,06:13:00,18:13:00
1475173821,29/09/2016,08:30:21,559.23,60.0,30.466290905571345,35.0,41.61,1.12,06:13:00,18:13:00
1475173521,2016-09-29,08:25:21,538.41,60.0,30.43490498767506,37.0,31.05,3.37,06:13:00,18:13:00
1475173223,2016-09-29,08:20:23,519.16,60.0,30.45828933884683,41.0,25.35,4.5,06:13:00,18:13:00
1475172921,09-29-2016,08:15:21,,60.0,30.388221872012195,,3.77,3.37,06:13:00,18:13:00
1475172619,29/09/2016,08:10:19,4784.8,60.0,30.47014395180695,40.0,17.86,3.37,06:13:00,18:13:00
1475172318,29/09/2016,08:05:18,458.27,59.0,30.532375025012158,,74.63,1.12,06:13:00,18:13:00
1475172024,2016-09-29,08:00:24,438.05,59.0,30.40587862874237,45.0,64.84,2.25,06:13:00,18:13:00
1475171719,29/09/2016,07:55:19,416.28,60.0,30.471070465552376,30.0,53.32,5.62,06:13:00,18:13:00
1475171419,29/09/2016,07:50:19,395.14,59.0,30.37630448126368,31.0,75.7,3.37,06:13:00,18:13:00
1475171120,2016-09-29,07:45:20,373.7,,30.37582823986847,34.0,58.43,2.25,06:13:00,18:13:00
1475170819,29/09/2016,07:40:19,352.56,57.0,30.448140909984605,340.0,113.5,1.12,06:13:00,18:13:00
1475170221,2016-09-29,07:30:21,305.78,54.0,30.42106947142173,38.0,146.52,1.12,06:13:00,18:13:00
1475169921,09-29-2016,07:25:21,278.29,52.0,30.428053685964628,42.0,142.16,2.25,06:13:00,18:13:00
1475169628,29/09/2016,07:20:28,,51.0,30.442657041198753,44.0,151.94,2.25,06:13:00,18:13:00
1475169324,2016-09-29,07:15:24,222.48,50.0,30.479956699618654,,143.23,4.5,06:13:00,18:13:00
1475169022,2016-09-29,07:10:22,164.44,49.0,30.467646341314385,47.0,172.83,3.37,06:13:00,18:13:00
1475168723,09-29-2016,07:05:23,21.36,48.0,30.386492694373413,48.0,176.93,4.5,06:13:00,18:13:00
1475168425,29/09/2016,07:00:25,20.0,48.0,30.404772858198815,50.0,182.88,5.62,06:13:00,18:13:00
1475168123,2016-09-29,06:55:23,19.24,48.0,30.43561892136411,51.0,173.07,7.87,06:13:00,18:13:00
1475167819,2016-09-29,06:50:19,18.33,47.0,30.412091516133483,53.0,191.44,7.87,06:13:00,18:13:00
1475167520,09-29-2016,06:45:20,17.31,47.0,30.466970736578475,54.0,193.99,9.0,06:13:00,18:13:00
1475167222,29/09/2016,06:40:22,,470.0,30.32720163949602,55.0,190.38,10.12,06:13:00,18:13:00
1475166919,2016-09-29,06:35:19,14.73,47.0,30.44314337792371,56.0,179.45,10.12,06:13:00,18:13:00
1475166620,2016-09-29,06:30:20,12.53,47.0,30.42071485548627,57.0,188.58,,06:13:00,18:13:00
1475166321,29/09/2016,06:25:21,9.86,47.0,30.383109779031916,57.0,188.37,7.87,06:13:00,18:13:00
1475166020,29/09/2016,06:20:20,7.7,47.0,30.35461579061448,,192.09,7.87,06:13:00,18:13:00
1475165722,2016-09-29,06:15:22,6.17,47.0,30.324372422927215,,157.11,7.87,06:13:00,18:13:00
1475165423,09-29-2016,06:10:23,,47.0,30.36022480849175,62.0,177.65,6.75,06:13:00,18:13:00
1475165120,2016-09-29,06:05:20,2.34,47.0,30.4478196464782,62.0,187.76,7.87,06:13:00,18:13:00
1475164824,09-29-2016,06:00:24,1.47,47.0,,61.0,185.73,7.87,06:13:00,18:13:00
1475164525,09-29-2016,05:55:25,1.21,47.0,30.49038635891073,60.0,184.95,9.0,06:13:00,18:13:00
1475164221,2016-09-29,05:50:21,1.23,470.0,30.42401208829624,59.0,182.07,9.0,06:13:00,18:13:00
1475163921,09-29-2016,05:45:21,12.4,46.0,30.386191405911184,58.0,184.89,10.12,06:13:00,18:13:00
1475163621,2016-09-29,05:40:21,1.23,46.0,30.40453313925959,59.0,190.62,7.87,06:13:00,18:13:00
1475163326,2016-09-29,05:35:26,1.21,,30.464418122941144,58.0,188.4,7.87,06:13:00,18:13:00
1475163027,29/09/2016,05:30:27,,46.0,30.4166492015483,58.0,193.81,5.62,06:13:00,18:13:00
1475162722,29/09/2016,05:25:22,1.22,45.0,30.320050662319353,56.0,191.32,6.75,06:13:00,18:13:00
1475162424,2016-09-29,05:20:24,1.22,45.0,30.441676948445114,56.0,184.3,5.62,06:13:00,18:13:00
1475162121,2016-09-29,05:15:21,1.2,45.0,30.503376795551745,,174.74,4.5,06:13:00,18:13:00
1475161822,2016-09-29,05:10:22,1.2,45.0,30.332307533916527,55.0,184.56,6.75,06:13:00,18:13:00
1475161520,29/09/2016,05:05:20,1.16,46.0,30.44876339953176,55.0,165.66,6.75,06:13:00,18:13:00
1475161222,09-29-2016,05:00:22,1.15,46.0,30.370716957962628,53.0,177.23,4.5,06:13:00,18:13:00
1475160925,09-29-2016,04:55:25,1.18,46.0,30.43931447998993,51.0,173.92,4.5,06:13:00,18:13:00
1475160625,09-29-2016,04:50:25,1.18,46.0,30.415593634343335,50.0,174.53,5.62,06:13:00,18:13:00
1475160320,09-29-2016,04:45:20,,46.0,30.416337927110497,50.0,163.85,3.37,06:13:00,18:13:00
1475160021,29/09/2016,04:40:21,,,30.482519281633632,49.0,166.26,4.5,06:13:00,18:13:00
1475159719,2016-09-29,04:35:19,,46.0,30.385930084107297,49.0,176.34,3.37,06:13:00,18:13:00
1475159425,09-29-2016,04:30:25,1.2,46.0,30.403671218341014,48.0,170.62,5.62,06:13:00,18:13:00
1475159125,2016-09-29,04:25:25,1.17,46.0,30.349605227452997,47.0,176.8,3.37,06:13:00,18:13:00
1475158821,29/09/2016,04:20:21,1.17,,30.486275531544425,47.0,170.45,4.5,06:13:00,18:13:00
1475158529,29/09/2016,04:15:29,1.18,46.0,30.31899652958868,45.0,180.3,3.37,06:13:00,18:13:00
1475158222,29/09/2016,04:10:22,1.21,460.0,30.35439692553197,,187.66,6.75,06:13:00,18:13:00
1475157918,09-29-2016,04:05:18,1.17,46.0,30.41164180484764,45.0,173.01,5.62,06:13:00,18:13:00
1475157620,2016-09-29,04:00:20,11.799999999999999,46.0,30.301449272490967,45.0,178.75,,06:13:00,18:13:00
1475157320,09-29-2016,03:55:20,1.19,46.0,30.384021573610198,,171.85,6.75,06:13:00,18:13:00
1475157026,2016-09-29,03:50:26,1.18,46.0,30.396237820178815,47.0,189.46,6.75,06:13:00,18:13:00
1475156722,2016-09-29,03:45:22,1.2,,30.35223190847876,48.0,169.78,5.62,06:13:00,18:13:00
1475156426,09-29-2016,03:40:26,12.2,46.0,30.403202306964943,50.0,183.99,6.75,06:13:00,18:13:00
1475156122,29/09/2016,03:35:22,1.21,460.0,30.340222760072997,52.0,173.17,5.62,06:13:00,18:13:00
1475155819,2016-09-29,03:30:19,1.22,46.0,30.401996881609886,55.0,186.34,7.87,06:13:00,18:13:00
